	labels
253	2.0
254	0.0
255	2.0
256	0.0
257	0.0
258	0.0
259	0.0
260	2.0
261	2.0
262	2.0
263	0.0
264	0.0
265	2.0
266	0.0
267	0.0
268	0.0
269	2.0
270	2.0
271	2.0
272	0.0
273	0.0
274	2.0
275	0.0
276	0.0
277	2.0
278	0.0
279	0.0
280	2.0
281	2.0
282	2.0
283	2.0
284	2.0
285	0.0
286	2.0
287	2.0
288	2.0
289	0.0
290	0.0
291	0.0
292	2.0
293	0.0
294	0.0
295	0.0
296	0.0
297	0.0
298	0.0
299	2.0
300	0.0
301	0.0
302	2.0
303	2.0
304	2.0
305	0.0
306	2.0
307	2.0
308	0.0
309	0.0
310	2.0
311	0.0
312	2.0
313	0.0
314	0.0
315	2.0
316	0.0
317	2.0
318	0.0
319	2.0
320	2.0
321	0.0
322	0.0
323	0.0
324	0.0
325	0.0
326	0.0
327	2.0
328	2.0
329	2.0
330	0.0
331	2.0
332	0.0
333	0.0
334	2.0
335	2.0
336	2.0
337	2.0
338	2.0
339	0.0
340	2.0
341	0.0
342	2.0
343	2.0
344	0.0
345	0.0
346	0.0
347	0.0
348	0.0
349	2.0
350	0.0
351	2.0
352	2.0
353	0.0
354	0.0
355	2.0
356	2.0
357	2.0
358	2.0
359	2.0
360	2.0
361	0.0
362	2.0
363	2.0
364	2.0
365	2.0
366	2.0
367	2.0
368	2.0
369	0.0
370	0.0
371	0.0
372	2.0
373	0.0
374	0.0
375	2.0
376	0.0
377	2.0
378	0.0
379	2.0
380	2.0
381	2.0
382	2.0
383	0.0
384	0.0
385	0.0
386	2.0
387	0.0
388	0.0
389	2.0
390	2.0
391	0.0
392	0.0
393	2.0
394	2.0
395	2.0
396	0.0
397	0.0
398	0.0
399	0.0
400	0.0
401	2.0
402	0.0
403	2.0
404	0.0
405	2.0
406	0.0
407	0.0
408	0.0
409	2.0
410	2.0
411	2.0
412	0.0
413	0.0
414	2.0
415	0.0
416	0.0
417	0.0
418	2.0
419	0.0
420	2.0
421	2.0
422	2.0
423	2.0
424	0.0
425	2.0
426	2.0
427	0.0
428	2.0
429	0.0
430	2.0
431	2.0
432	2.0
433	0.0
434	0.0
435	2.0
436	2.0
437	2.0
438	2.0
439	2.0
440	0.0
441	2.0
442	2.0
443	2.0
444	0.0
445	0.0
446	2.0
447	2.0
448	2.0
449	0.0
450	0.0
451	2.0
452	2.0
453	0.0
454	2.0
455	2.0
456	0.0
457	2.0
458	0.0
459	0.0
460	2.0
461	2.0
462	0.0
463	2.0
464	0.0
465	2.0
466	0.0
467	2.0
468	2.0
469	2.0
470	0.0
471	0.0
472	2.0
473	2.0
474	2.0
475	2.0
476	2.0
477	2.0
478	0.0
479	0.0
480	2.0
481	0.0
482	0.0
483	0.0
484	0.0
485	0.0
486	0.0
487	0.0
488	0.0
489	0.0
490	0.0
491	0.0
492	0.0
493	0.0
494	0.0
495	0.0
496	2.0
497	2.0
498	2.0
499	2.0
